date,spot_close,expiration,strike,bid,ask,mid,breakeven,spread,last,breakeven_last,last_trade_utc,last_age_days,volume,open_interest
2026-08-07,23.29,2027-01-15,2.5,18.85,23.0,20.925,23.425,4.15,19.0,21.5,2026-08-06 14:20,1,2,15
2026-08-07,23.29,2027-01-15,5.0,16.6,20.75,18.675,23.675,4.15,19.0,24.0,2026-08-07 13:33,0,5,20
2026-08-07,23.29,2027-01-15,7.5,14.2,17.5,15.85,23.35,3.3,20.5,28.0,2026-08-05 16:08,2,2,40
2026-08-07,23.29,2027-01-15,10.0,13.25,15.45,14.35,24.35,2.2,13.8,23.8,2026-08-06 15:21,1,2,275
2026-08-07,23.29,2027-01-15,12.5,10.9,12.9,11.9,24.4,2.0,12.09,24.59,2026-08-07 18:29,0,8,153
2026-08-07,23.29,2027-01-15,15.0,8.65,10.2,9.425,24.425,1.55,9.95,24.95,2026-08-07 19:28,0,5,935
2026-08-07,23.29,2027-01-15,17.5,6.65,9.5,8.075,25.575,2.85,9.03,26.53,2026-08-07 14:37,0,9,682
2026-08-07,23.29,2027-01-15,20.0,6.6,7.6,7.1,27.1,1.0,6.76,26.76,2026-08-07 19:53,0,71,2245
2026-08-07,23.29,2027-01-15,25.0,4.25,4.85,4.55,29.55,0.6,4.45,29.45,2026-08-07 19:59,0,348,5246
2026-08-07,23.29,2027-01-15,30.0,3.0,3.2,3.1,33.1,0.2,3.05,33.05,2026-08-07 19:59,0,404,8067
