date,close
2026-02-13,22.53
2026-02-17,23.1
2026-02-18,24.19
2026-02-19,25.86
2026-02-20,26.09
2026-02-23,24.75
2026-02-24,27.43
2026-02-25,31.24
2026-02-26,30.22
2026-02-27,29.39
2026-03-02,29.29
2026-03-03,30.74
2026-03-04,29.64
2026-03-05,30.3
2026-03-06,29.11
2026-03-09,30.48
2026-03-10,28.35
2026-03-11,27.84
2026-03-12,26.17
2026-03-13,26.03
2026-03-16,27.16
2026-03-17,27.45
2026-03-18,25.26
2026-03-19,24.22
2026-03-20,23.73
2026-03-23,23.2
2026-03-24,21.87
2026-03-25,21.09
2026-03-26,22.15
2026-03-27,20.19
2026-03-30,20.16
2026-03-31,21.14
2026-04-01,20.42
2026-04-02,21.27
2026-04-06,21.42
2026-04-07,21.19
2026-04-08,20.15
2026-04-09,19.08
2026-04-10,18.16
2026-04-13,19.18
2026-04-14,18.42
2026-04-15,20.34
2026-04-16,20.32
2026-04-17,18.92
2026-04-20,19.01
2026-04-21,18.72
2026-04-22,19.17
2026-04-23,17.32
2026-04-24,17.47
2026-04-27,17.31
2026-04-28,17.18
2026-04-29,16.86
2026-04-30,17.7
2026-05-01,18.74
2026-05-04,19.96
2026-05-05,19.42
2026-05-06,19.29
2026-05-07,20.56
2026-05-08,20.66
2026-05-11,20.05
2026-05-12,19.33
2026-05-13,18.94
2026-05-14,20.24
2026-05-15,22.92
2026-05-18,24.36
2026-05-19,23.27
2026-05-20,22.58
2026-05-21,21.59
2026-05-22,22.71
2026-05-26,21.96
2026-05-27,21.34
2026-05-28,23.46
2026-05-29,25.5
2026-06-01,27.12
2026-06-02,24.29
2026-06-03,22.79
2026-06-04,22.51
2026-06-05,21.75
2026-06-08,21.1
2026-06-09,20.49
2026-06-10,19.79
2026-06-11,19.34
2026-06-12,18.54
2026-06-15,18.51
2026-06-16,17.98
2026-06-17,18.65
2026-06-18,18.88
2026-06-22,19.08
2026-06-23,18.99
2026-06-24,18.64
2026-06-25,16.84
2026-06-26,18.62
2026-06-29,19.08
2026-06-30,18.09
2026-07-01,19.49
2026-07-02,21.34
2026-07-06,21.08
2026-07-07,22.19
2026-07-08,21.67
2026-07-09,22.26
2026-07-10,21.11
2026-07-13,23.65
2026-07-14,23.86
2026-07-15,23.5
2026-07-16,23.41
2026-07-17,23.95
2026-07-20,24.02
2026-07-21,21.93
2026-07-22,21.47
2026-07-23,20.0
2026-07-24,21.12
2026-07-27,22.94
2026-07-28,24.38
2026-07-29,24.76
2026-07-30,23.76
2026-07-31,24.32
2026-08-03,24.92
2026-08-04,27.12
2026-08-05,28.15
2026-08-06,23.97
2026-08-07,23.29
2026-08-10,25.39
2026-08-11,24.87
2026-08-12,23.75
